StockCode,Description,ABC_Class,ObsolescenceRisk,ObsolescenceType,DemandStability,DemandCV,AvgDailyDemand,DemandStd,DaysWithSales,AvgUnitPrice,TotalRevenue,LeadTimeDays,LeadTimeStd,SafetyStock,ReorderPoint,CurrentStock,StockStatus,StatusReason,ExcessStock,DeficitStock,ExcessValue,DeficitValue,InventoryValue,DailyHoldingCost,ExcessHoldingCost,ServiceLevelTarget,ServiceLevelAchievable,StockoutRisk,ServiceLevelGap,AnnualTurns,DaysOnHand,YearMonth,AnalysisDate,IsOverstocked,IsUnderstocked,IsOptimal,InventoryValueSafe,ExcessValuePct,StockoutRiskPct,ServiceLevelGapPct,ServiceLevelTargetPct,ServiceLevelAchievablePct,StatusColor,ABC_Color,ActionPriority,RiskScore,Category,Recommendation,ImpactValue
22423,REGENCY CAKESTAND 3 TIER,A,Low,Stable,Moderate,0.9153097137343095,43.50898203592814,39.8241938921766,501,12.460706527504776,252333.52,6,1.2,257,518.0,550.0,Optimal,Within A-item guidelines,0,0,0.0,0.0,6853.39,4.69,0.0,0.99,0.995,0.005,-0.005,28.9,12.6,2026-02,2026-02-10,0,0,1,6853.39,0.0,0.5,-0.5,99.0,99.5,#4ECDC4,#FFD700,Low,50,A-Optimal,Maintain current levels,0.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,Low,Stable,Moderate,0.7811119715826177,114.63879598662207,89.54573595296785,598,2.8793550984058074,185848.68,5,1.0,537,1110.0,2138.0,Overstocked,Overstocked: Stock 2138.0 > tolerance 1221,917,0,2640.37,0.0,6156.06,4.22,1.81,0.99,1.0,0.0,-0.01,19.6,18.6,2026-02,2026-02-10,1,0,0,6156.06,0.42890582612905004,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 917 units to 1110,2640.37
M,Manual,A,Low,Stable,Volatile,2.090759408271737,12.158357771260997,25.42020089939772,341,195.97270093795092,149633.99,6,1.2,149,222.0,355.0,Overstocked,Overstocked: Stock 355.0 > tolerance 244,111,0,21752.97,0.0,69570.31,47.65,14.9,0.99,1.0,0.0,-0.01,12.5,29.2,2026-02,2026-02-10,1,0,0,69570.31,0.31267605390862857,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 111 units to 222,21752.97
POST,POSTAGE,A,Low,Stable,Moderate,0.7869758940282241,10.351778656126482,8.146600262687427,506,29.240906580792945,124442.04,6,1.2,55,117.0,164.0,Overstocked,Overstocked: Stock 164.0 > tolerance 129,35,0,1023.43,0.0,4795.51,3.28,0.7,0.99,1.0,0.0,-0.01,23.0,15.8,2026-02,2026-02-10,1,0,0,4795.51,0.2134142145465237,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,70,A-Overstocked,Reduce by 35 units to 117,1023.43
85099B,JUMBO BAG RED RETROSPOT,A,Medium,Fashion,Moderate,0.8622349371847295,109.32926829268293,94.26751477879391,574,1.9668370065065084,115591.34,4,0.8,391,828.0,608.0,Understocked,Understocked by 220 units,0,220,0.0,432.7,1195.84,0.82,0.0,0.97,0.794,0.206,0.176,65.6,5.6,2026-02,2026-02-10,0,1,0,1195.84,0.0,20.599999999999998,17.599999999999998,97.0,79.4,#45B7D1,#FFD700,Critical,95,A-Understocked,Increase by 220 units to 828,432.7
47566,PARTY BUNTING,A,Low,Stable,Volatile,1.0960848063534443,44.28333333333333,48.53828884135169,480,4.7508231045574805,94262.78,4,0.8,240,417.0,306.0,Understocked,Understocked by 111 units,0,111,0.0,527.34,1453.75,1.0,0.0,0.99,0.894,0.106,0.096,52.8,6.9,2026-02,2026-02-10,0,1,0,1453.75,0.0,10.6,9.6,99.0,89.4,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 111 units to 417,527.34
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Low,Stable,Moderate,0.7654674846419492,77.0104895104895,58.94902569663962,572,1.6879265734265734,74292.81999999999,5,1.0,355,740.0,434.0,Understocked,Understocked by 306 units,0,306,0.0,516.51,732.56,0.5,0.0,0.99,0.626,0.374,0.364,64.8,5.6,2026-02,2026-02-10,0,1,0,732.56,0.0,37.4,36.4,99.0,62.6,#45B7D1,#FFD700,Critical,80,A-Understocked,Increase by 306 units to 740,516.51
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,High,Seasonal,Volatile,1.0349231514737616,82.28571428571429,85.15939074984095,266,2.9157459957102057,60288.76,3,0.9,232,479.0,862.0,Overstocked,Overstocked: Stock 862.0 > tolerance 527,335,0,976.77,0.0,2513.37,1.72,0.67,0.92,1.0,0.0,-0.08,34.8,10.5,2026-02,2026-02-10,1,0,0,2513.37,0.38862960885186026,0.0,-8.0,92.0,100.0,#FF6B6B,#FFD700,Critical,100,A-Overstocked,Reduce by 335 units to 479,976.77
79321,CHILLI LIGHTS,A,Low,Stable,Volatile,1.3282700731415864,30.3225,40.276469292835756,400,5.150032043650794,57315.5,4,0.8,196,317.0,444.0,Overstocked,Overstocked: Stock 444.0 > tolerance 349,95,0,489.25,0.0,2286.61,1.57,0.34,0.99,1.0,0.0,-0.01,24.9,14.6,2026-02,2026-02-10,1,0,0,2286.61,0.2139630282383091,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 95 units to 317,489.25
20725,LUNCH BAG RED RETROSPOT,A,Medium,Fashion,Moderate,0.8831952697542607,61.27645051194539,54.119071239481215,586,1.6490298387619204,56779.4,4,0.8,223,468.0,731.0,Overstocked,Overstocked: Stock 731.0 > tolerance 515,216,0,356.19,0.0,1205.44,0.83,0.24,0.97,1.0,0.0,-0.03,30.6,11.9,2026-02,2026-02-10,1,0,0,1205.44,0.2954854658879745,0.0,-3.0,97.0,100.0,#FF6B6B,#FFD700,Critical,85,A-Overstocked,Reduce by 216 units to 468,356.19
48138,DOORMAT UNION FLAG,A,Low,Stable,Volatile,1.2659338620229277,16.125,20.41318352511971,504,7.530705546107332,56505.03,4,0.8,100,164.0,87.0,Understocked,Understocked by 77 units,0,77,0.0,579.86,655.17,0.45,0.0,0.99,0.7,0.3,0.29,67.7,5.4,2026-02,2026-02-10,0,1,0,655.17,0.0,30.0,28.999999999999996,99.0,70.0,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 77 units to 164,579.86
22502,PICNIC BASKET WICKER SMALL,A,Low,Stable,Volatile,1.2424388390096155,12.46215139442231,15.483460910048116,251,7.024402390438247,55017.6,4,0.8,76,126.0,246.0,Overstocked,Overstocked: Stock 246.0 > tolerance 139,107,0,751.61,0.0,1728.0,1.18,0.51,0.99,1.0,0.0,-0.01,18.5,19.7,2026-02,2026-02-10,1,0,0,1728.0,0.43495949074074075,0.0,-1.0,99.0,100.0,#FF6B6B,#FFD700,Critical,80,A-Overstocked,Reduce by 107 units to 126,751.61
20685,DOORMAT RED RETROSPOT,A,Medium,Fashion,Volatile,1.138124492661893,15.211650485436893,17.3127519912879,515,7.47984476806904,53726.18,3,0.6,59,105.0,184.0,Overstocked,Overstocked: Stock 184.0 > tolerance 116,68,0,508.63,0.0,1376.29,0.94,0.35,0.97,1.0,0.0,-0.03,30.2,12.1,2026-02,2026-02-10,1,0,0,1376.29,0.3695660071641878,0.0,-3.0,97.0,100.0,#FF6B6B,#FFD700,Critical,95,A-Overstocked,Reduce by 68 units to 105,508.63
21843,RED RETROSPOT CAKE STAND,A,Medium,Fashion,Volatile,1.538608350277055,10.640495867768594,16.371555793237256,484,10.879256099960644,53187.49999999999,4,0.8,64,107.0,88.0,Understocked,Understocked by 19 units,0,19,0.0,206.71,957.37,0.66,0.0,0.97,0.91,0.09,0.06,44.1,8.3,2026-02,2026-02-10,0,1,0,957.37,0.0,9.0,6.0,97.0,91.0,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 19 units to 107,206.71
22386,JUMBO BAG PINK POLKADOT,A,Low,Stable,Moderate,0.9959609646280703,52.17884615384615,51.96809394856429,520,1.975621871184371,50424.85,5,1.0,296,557.0,430.0,Understocked,Understocked by 127 units,0,127,0.0,250.9,849.52,0.58,0.0,0.99,0.908,0.092,0.082,44.3,8.2,2026-02,2026-02-10,0,1,0,849.52,0.0,9.2,8.200000000000001,99.0,90.8,#45B7D1,#FFD700,Critical,80,A-Understocked,Increase by 127 units to 557,250.9
15056N,EDWARDIAN PARASOL NATURAL,A,Low,Stable,Volatile,1.4721729443978235,20.13302752293578,29.639298408082787,436,5.837947817747733,47053.91,4,0.8,143,224.0,174.0,Understocked,Understocked by 50 units,0,50,0.0,291.9,1015.8,0.7,0.0,0.99,0.936,0.064,0.054,42.2,8.6,2026-02,2026-02-10,0,1,0,1015.8,0.0,6.4,5.4,99.0,93.60000000000001,#45B7D1,#FFD700,Critical,90,A-Understocked,Increase by 50 units to 224,291.9
21621,VINTAGE UNION JACK BUNTING,A,Medium,Fashion,Volatile,1.328999486255253,12.161220043572985,16.162255190145583,459,8.494760348583878,46888.71,3,0.6,54,90.0,86.0,Understocked,Understocked by 4 units,0,4,0.0,33.98,730.55,0.5,0.0,0.97,0.957,0.043,0.013,51.6,7.1,2026-02,2026-02-10,0,1,0,730.55,0.0,4.3,1.3,97.0,95.7,#45B7D1,#FFD700,Critical,100,A-Understocked,Increase by 4 units to 90,33.98
22112,CHOCOLATE HOT WATER BOTTLE,A,High,Perishable,Volatile,1.2104220954143856,25.554123711340207,30.93127596915885,388,4.885087607838897,45689.39,3,0.9,82,159.0,205.0,Overstocked,Overstocked: Stock 205.0 > tolerance 175,30,0,146.55,0.0,1001.44,0.69,0.1,0.92,0.986,0.014,-0.066,45.5,8.0,2026-02,2026-02-10,1,0,0,1001.44,0.14633927144911327,1.4000000000000001,-6.6000000000000005,92.0,98.6,#FF6B6B,#FFD700,Critical,100,A-Overstocked,Reduce by 30 units to 159,146.55
