StockCode,Description,ABC_Class,ObsolescenceRisk,AvgDailyDemand,DemandStd,DemandCV,LeadTimeDays,SafetyStock,ReorderPoint,CurrentStock,StockStatus,ExcessStock,DeficitStock,ExcessValue,DeficitValue,InventoryValue,ServiceLevelTarget,ServiceLevelAchievable,AnnualTurns,DaysOnHand,StatusColor,ActionPriority
22423,REGENCY CAKESTAND 3 TIER,A,Low,43.50898203592814,39.8241938921766,0.9153097137343095,6,257,518.0,550.0,Optimal,0,0,0.0,0.0,6853.39,0.99,0.995,28.9,12.6,#4ECDC4,Low
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,Low,114.63879598662207,89.54573595296785,0.7811119715826177,5,537,1110.0,2138.0,Overstocked,917,0,2640.37,0.0,6156.06,0.99,1.0,19.6,18.6,#FF6B6B,Immediate
M,Manual,A,Low,12.158357771260997,25.42020089939772,2.090759408271737,6,149,222.0,355.0,Overstocked,111,0,21752.97,0.0,69570.31,0.99,1.0,12.5,29.2,#FF6B6B,Immediate
POST,POSTAGE,A,Low,10.351778656126482,8.146600262687427,0.7869758940282241,6,55,117.0,164.0,Overstocked,35,0,1023.43,0.0,4795.51,0.99,1.0,23.0,15.8,#FF6B6B,Immediate
85099B,JUMBO BAG RED RETROSPOT,A,Medium,109.32926829268293,94.26751477879391,0.8622349371847295,4,391,828.0,608.0,Understocked,0,220,0.0,432.7,1195.84,0.97,0.794,65.6,5.6,#45B7D1,Immediate
47566,PARTY BUNTING,A,Low,44.28333333333333,48.53828884135169,1.0960848063534443,4,240,417.0,306.0,Understocked,0,111,0.0,527.34,1453.75,0.99,0.894,52.8,6.9,#45B7D1,Immediate
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Low,77.0104895104895,58.94902569663962,0.7654674846419492,5,355,740.0,434.0,Understocked,0,306,0.0,516.51,732.56,0.99,0.626,64.8,5.6,#45B7D1,Immediate
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,High,82.28571428571429,85.15939074984095,1.0349231514737616,3,232,479.0,862.0,Overstocked,335,0,976.77,0.0,2513.37,0.92,1.0,34.8,10.5,#FF6B6B,Immediate
79321,CHILLI LIGHTS,A,Low,30.3225,40.276469292835756,1.3282700731415864,4,196,317.0,444.0,Overstocked,95,0,489.25,0.0,2286.61,0.99,1.0,24.9,14.6,#FF6B6B,Immediate
20725,LUNCH BAG RED RETROSPOT,A,Medium,61.27645051194539,54.119071239481215,0.8831952697542607,4,223,468.0,731.0,Overstocked,216,0,356.19,0.0,1205.44,0.97,1.0,30.6,11.9,#FF6B6B,Immediate
48138,DOORMAT UNION FLAG,A,Low,16.125,20.41318352511971,1.2659338620229277,4,100,164.0,87.0,Understocked,0,77,0.0,579.86,655.17,0.99,0.7,67.7,5.4,#45B7D1,Immediate
22502,PICNIC BASKET WICKER SMALL,A,Low,12.46215139442231,15.483460910048116,1.2424388390096155,4,76,126.0,246.0,Overstocked,107,0,751.61,0.0,1728.0,0.99,1.0,18.5,19.7,#FF6B6B,Immediate
20685,DOORMAT RED RETROSPOT,A,Medium,15.211650485436893,17.3127519912879,1.138124492661893,3,59,105.0,184.0,Overstocked,68,0,508.63,0.0,1376.29,0.97,1.0,30.2,12.1,#FF6B6B,Immediate
21843,RED RETROSPOT CAKE STAND,A,Medium,10.640495867768594,16.371555793237256,1.538608350277055,4,64,107.0,88.0,Understocked,0,19,0.0,206.71,957.37,0.97,0.91,44.1,8.3,#45B7D1,Immediate
